cotacaoCompra,cotacaoVenda,dataHoraCotacao
"5,343","5,3436",2023-01-01
"5,343","5,3436",2023-01-02
"5,3753","5,3759",2023-01-03
"5,4453","5,4459",2023-01-04
"5,402","5,4026",2023-01-05
"5,2849","5,2855",2023-01-06
"5,2849","5,2855",2023-01-07
"5,2849","5,2855",2023-01-08
"5,2961","5,2967",2023-01-09
"5,2389","5,2395",2023-01-10
"5,2014","5,202",2023-01-11
"5,1394","5,14",2023-01-12
"5,114","5,1146",2023-01-13
"5,114","5,1146",2023-01-14
"5,114","5,1146",2023-01-15
"5,1109","5,1115",2023-01-16
"5,1197","5,1203",2023-01-17
"5,0903","5,0909",2023-01-18
"5,2138","5,2144",2023-01-19
"5,198","5,1986",2023-01-20
"5,198","5,1986",2023-01-21
"5,198","5,1986",2023-01-22
"5,1916","5,1922",2023-01-23
"5,169","5,1696",2023-01-24
"5,1036","5,1042",2023-01-25
"5,0945","5,0951",2023-01-26
"5,0761","5,0767",2023-01-27
"5,0761","5,0767",2023-01-28
"5,0761","5,0767",2023-01-29
"5,0953","5,0959",2023-01-30
"5,0987","5,0993",2023-01-31
"5,0715","5,0721",2023-02-01
"4,9895","4,9901",2023-02-02
"5,1024","5,103",2023-02-03
"5,1024","5,103",2023-02-04
"5,1024","5,103",2023-02-05
"5,1757","5,1763",2023-02-06
"5,1689","5,1695",2023-02-07
"5,203","5,2036",2023-02-08
"5,2309","5,2315",2023-02-09
"5,252","5,2526",2023-02-10
"5,252","5,2526",2023-02-11
"5,252","5,2526",2023-02-12
"5,1828","5,1834",2023-02-13
"5,1501","5,1507",2023-02-14
"5,2237","5,2243",2023-02-15
"5,2426","5,2432",2023-02-16
"5,2006","5,2012",2023-02-17
"5,2006","5,2012",2023-02-18
"5,2006","5,2012",2023-02-19
"5,2006","5,2012",2023-02-20
"5,2006","5,2012",2023-02-21
"5,1724","5,173",2023-02-22
"5,1324","5,133",2023-02-23
"5,1785","5,1791",2023-02-24
"5,1785","5,1791",2023-02-25
"5,1785","5,1791",2023-02-26
"5,1954","5,196",2023-02-27
"5,2072","5,2078",2023-02-28
"5,2064","5,207",2023-03-01
"5,2074","5,208",2023-03-02
"5,2031","5,2037",2023-03-03
"5,2031","5,2037",2023-03-04
"5,2031","5,2037",2023-03-05
"5,1964","5,197",2023-03-06
"5,1895","5,1901",2023-03-07
"5,1381","5,1387",2023-03-08
"5,1347","5,1353",2023-03-09
"5,1816","5,1822",2023-03-10
"5,1816","5,1822",2023-03-11
"5,1816","5,1822",2023-03-12
"5,2394","5,24",2023-03-13
"5,2356","5,2362",2023-03-14
"5,2975","5,2981",2023-03-15
"5,2886","5,2892",2023-03-16
"5,2673","5,2679",2023-03-17
"5,2673","5,2679",2023-03-18
"5,2673","5,2679",2023-03-19
"5,2461","5,2467",2023-03-20
"5,2438","5,2444",2023-03-21
"5,2642","5,2648",2023-03-22
"5,2626","5,2632",2023-03-23
"5,2915","5,2921",2023-03-24
"5,2915","5,2921",2023-03-25
"5,2915","5,2921",2023-03-26
"5,23","5,2306",2023-03-27
"5,1727","5,1733",2023-03-28
"5,1487","5,1493",2023-03-29
"5,1248","5,1254",2023-03-30
"5,0798","5,0804",2023-03-31
"5,0798","5,0804",2023-04-01
"5,0798","5,0804",2023-04-02
"5,0631","5,0637",2023-04-03
"5,0756","5,0762",2023-04-04
"5,0441","5,0447",2023-04-05
"5,0677","5,0683",2023-04-06
"5,0677","5,0683",2023-04-07
"5,0677","5,0683",2023-04-08
"5,0677","5,0683",2023-04-09
"5,0828","5,0834",2023-04-10
"5,0122","5,0128",2023-04-11
"4,949","4,9496",2023-04-12
"4,9091","4,9097",2023-04-13
"4,9449","4,9455",2023-04-14
"4,9449","4,9455",2023-04-15
"4,9449","4,9455",2023-04-16
"4,9415","4,9421",2023-04-17
"4,9672","4,9678",2023-04-18
"5,0461","5,0467",2023-04-19
"5,0491","5,0497",2023-04-20
"5,0491","5,0497",2023-04-21
"5,0491","5,0497",2023-04-22
"5,0491","5,0497",2023-04-23
"5,0589","5,0595",2023-04-24
"5,0607","5,0613",2023-04-25
"5,0579","5,0585",2023-04-26
"5,0144","5,015",2023-04-27
"5,0001","5,0007",2023-04-28
"5,0001","5,0007",2023-04-29
"5,0001","5,0007",2023-04-30
"5,0001","5,0007",2023-05-01
"5,0329","5,0334",2023-05-02
"5,0221","5,0227",2023-05-03
"5,01","5,0106",2023-05-04
"4,969","4,9696",2023-05-05
"4,969","4,9696",2023-05-06
"4,969","4,9696",2023-05-07
"4,969","4,9696",2023-05-08
"5,0001","5,0007",2023-05-09
"4,9541","4,9547",2023-05-10
"4,969","4,9696",2023-05-11
"4,9228","4,9234",2023-05-12
"4,9228","4,9234",2023-05-13
"4,9228","4,9234",2023-05-14
"4,9097","4,9103",2023-05-15
"4,9116","4,9122",2023-05-16
"4,9507","4,9513",2023-05-17
"4,9641","4,9647",2023-05-18
"4,9852","4,9858",2023-05-19
"4,9852","4,9858",2023-05-20
"4,9852","4,9858",2023-05-21
"4,9674","4,968",2023-05-22
"4,9668","4,9674",2023-05-23
"4,9468","4,9474",2023-05-24
"4,9984","4,999",2023-05-25
"5,0108","5,0114",2023-05-26
"5,0108","5,0114",2023-05-27
"5,0108","5,0114",2023-05-28
"4,9948","4,9954",2023-05-29
"5,0587","5,0593",2023-05-30
"5,0953","5,0959",2023-05-31
"5,0344","5,035",2023-06-01
"4,9552","4,9558",2023-06-02
"4,9552","4,9558",2023-06-03
"4,9552","4,9558",2023-06-04
"4,923","4,9236",2023-06-05
"4,9286","4,9292",2023-06-06
"4,9113","4,9119",2023-06-07
"4,8916","4,8922",2023-06-09
"4,8916","4,8922",2023-06-10
"4,8916","4,8922",2023-06-11
"4,8826","4,8832",2023-06-12
"4,8527","4,8533",2023-06-13
"4,8456","4,8462",2023-06-14
