name,price,code,actual_category
Transponder AIS Maré Magnum,R$ 33122.52,1,ELETRONICOS
Transponder Furuno Marlin,R$ 13998.15,2,ELETRONICOS
Radar Furuno Pulse Leviathan,R$ 9024.19,3,E L E T R Ô N I C O S
Rádio AIS Hydro Tidal Zen,R$ 3381.88,4,Eletrunicos
Piloto Automático Furuno Storm,R$ 23669.01,5,Eletronicoz
Transponder AIS Vector,R$ 11820.21,6,Eletrunicos
Radar AIS Zen,R$ 19518.77,7,eLeTrÔnIcOs
GPS AIS Zen,R$ 4984.15,8,E L E T R Ô N I C O S
Transponder AIS Titan Pulse,R$ 39705.5,9,Eletronicoz
Piloto Automático Simrad Titan Flux Magnum,R$ 32033.04,10,eletrônicos
GPS Furuno Swift Leviathan Poseidon,R$ 36231.91,11,Eletrônicos
GPS AIS Drift Flux Vox,R$ 2726.18,12,Eletrunicos
Radar Simrad Boost,R$ 7747.1,13,E L E T R Ô N I C O S
Rádio Furuno Zen Swift,R$ 35811.08,14,Eletroniscos
Radar Garmin Tidal Thrust,R$ 27899.76,15,Eletronicos
Sonda Garmin Axis,R$ 30005.99,16,eletrônicos
Rádio AIS Oceanic Pulse,R$ 14038.78,17,ELETRONICOS
Rádio Simrad Axis,R$ 26572.45,18,Eletronicoz
Sonda Lowrance Tidal Storm Vox,R$ 16432.35,19,eletronicos
Radar AIS Marlin,R$ 30833.44,20,eletrônicos
GPS AIS Nautic Thrust,R$ 8734.56,21,Eletronicoz
Transponder Furuno Force Ion,R$ 39452.86,22,Eletronicoz
Piloto Automático Furuno Torque Peak,R$ 11178.63,23,Eletroniscos
GPS AIS Orca Marlin Velocity,R$ 23232.18,24,eletronicos
Rádio Lowrance Nitro Thrust Barracuda,R$ 12126.46,25,Eletrunicos
Piloto Automático Furuno Core Boost Flux,R$ 17283.18,26,EletrônicoS
GPS Garmin Vortex Maré Drift,R$ 16511.45,27,ELETRONICOS
Piloto Automático AIS Core,R$ 14258.56,28,eletronicos
Rádio Simrad Orca,R$ 36510.34,29,Eletrunicos
Transponder AIS Boost,R$ 32247.87,30,Eletrônicos
Transponder Furuno Pulse Axis,R$ 8283.11,31,EletrônicoS
Sonda AIS Impulse Oceanic Zenith,R$ 12502.46,32,ELETRONICOS
Transponder Garmin Drift Vortex Marlin,R$ 6715.77,33,ELETRONICOS
Transponder AIS Helix Torque,R$ 4917.53,34,E L E T R Ô N I C O S
Radar Furuno Swift,R$ 11005.53,35,Eletrônicos
Radar Lowrance Aqua Pulse,R$ 22601.39,36,eletrônicos
GPS Lowrance Evo Storm Drift,R$ 6067.71,37,E L E T R Ô N I C O S
GPS Lowrance Evo Storm Drift,R$ 6067.71,37,ELEtRÔNICOS
Rádio AIS Force,R$ 26461.14,38,Eletrônicos
GPS Furuno Vector,R$ 29632.83,39,eletrônicos
Sonda Furuno Maré Tidal,R$ 14184.04,40,eLeTrÔnIcOs
GPS Simrad Flow Pulse,R$ 10600.0,41,eLeTrÔnIcOs
Transponder Lowrance Axis,R$ 5992.84,42,Eletronicoz
Sonda AIS Barracuda,R$ 35096.86,43,E L E T R Ô N I C O S
GPS Simrad Zen Hydra Peak,R$ 10806.84,44,EletrônicoS
GPS Furuno Current,R$ 9903.71,45,eLeTrÔnIcOs
Sonda AIS Magnum Boost,R$ 4983.77,46,eletrônicos
Rádio Simrad Tidal Aqua,R$ 6122.96,47,Eletronicos
GPS Furuno Magnum Drift,R$ 14736.35,48,eLeTrÔnIcOs
Sonda Furuno Swift,R$ 13264.25,49,eletrônicos
Piloto Automático Simrad Poseidon Magnum,R$ 11275.99,50,Eletronicoz
Motor Diesel Tohatsu Evo Zenith 16HP,R$ 64158.99,51,PROPULSAO
Motor Diesel Honda Zen Tidal Mako 26HP,R$ 13704.1,52,Propulção
Motor Elétrico Torqeedo Zen Titan Hydra 129HP,R$ 53675.01,53,Prop
Motor de Popa Yamaha Evo Dash 155HP,R$ 121534.82,54,Propulssão
Motor Diesel Volvo Flow Oceanic 259HP,R$ 109987.2,55,propulsao
Motor Elétrico Torqeedo Velocity Swift 74HP,R$ 42988.77,56,propulsao
Motor de Popa Honda Vector Kinetic 174HP,R$ 118790.57,57,PROPULSAO
Motor de Popa Tohatsu Ion Core Nautic 53HP,R$ 108824.59,58,Propulção
Motor Diesel Yanmar Hydro Magnum Boost 267HP,R$ 87166.14,59,Prop
Motor de Popa Honda Velocity Drift 258HP,R$ 108751.09,60,Propulssão
Motor Diesel Honda Prime 84HP,R$ 28018.63,61,PROPULSAO
Motor Diesel Yanmar Velocity 37HP,R$ 102221.97,62,P R O P U L S Ã O
Motor Diesel Yanmar Velocity 37HP,R$ 102221.97,62,Propução
Motor Diesel Yanmar Velocity 37HP,R$ 102221.97,62,propulsão
Motor Diesel Yanmar Velocity 37HP,R$ 102221.97,62,Prop
Motor Elétrico Torqeedo Ion Orca Vox 186HP,R$ 139957.67,63,pRoPuLsÃo
Motor Elétrico Yamaha Swift Drift Current 265HP,R$ 111505.55,64,pRoPuLsÃo
Motor de Popa Torqeedo Nautic Swift 223HP,R$ 25557.7,65,Propulção
Motor de Popa Tohatsu Poseidon Helix Prime 135HP,R$ 12571.63,66,Propulçao
Motor de Popa Yamaha Mako 108HP,R$ 85789.05,67,Propulssão
